epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.57632,1.57762,3.63504,1.82531,0.00597,0.82542,0.05341,0.02905,1.22312,3.36933,1.70876,7.5e-05,7.5e-05,7.5e-05
2,9.8052,1.33342,3.54696,1.6708,0.00982,0.93354,0.15755,0.10887,1.15507,3.31921,1.5567,0.000160891,0.000160891,0.000160891
3,13.0695,1.18543,3.25263,1.53507,0.00781,0.92437,0.28096,0.18724,1.26266,3.29834,1.57735,0.00024505,0.00024505,0.00024505
4,16.5913,1.21068,2.86903,1.50177,0.00746,0.74743,0.1636,0.05821,1.96136,3.40234,2.22568,0.000327476,0.000327476,0.000327476
5,19.8668,1.26393,2.59492,1.5455,0.00724,0.92643,0.23919,0.10965,1.68928,3.30226,2.00484,0.00040817,0.00040817,0.00040817
6,23.4376,1.23596,2.38277,1.53028,0.00562,0.95875,0.2526,0.12711,1.59371,3.08919,2.07653,0.000487131,0.000487131,0.000487131
7,26.9175,1.25281,2.3023,1.54209,0.00525,0.95396,0.36117,0.22376,1.39878,3.04353,1.90278,0.00056436,0.00056436,0.00056436
8,30.2085,1.21223,2.11648,1.51345,0.95712,0.21053,0.32524,0.19816,1.384,2.95054,1.81459,0.000639856,0.000639856,0.000639856
9,33.6175,1.20298,2.02273,1.47176,0.82957,0.10317,0.36646,0.18206,1.64858,2.85979,2.06155,0.00071362,0.00071362,0.00071362
10,36.7786,1.26982,2.00321,1.4917,0.58629,0.27327,0.34979,0.17165,1.59284,2.64985,2.27343,0.000785651,0.000785651,0.000785651
11,40.1117,1.18916,1.84569,1.43223,0.55223,0.30307,0.37096,0.18045,1.60851,2.44093,2.05276,0.00085595,0.00085595,0.00085595
12,43.4407,1.22597,1.99519,1.48474,0.53512,0.2452,0.25073,0.11938,1.48701,2.51612,2.01223,0.000924516,0.000924516,0.000924516
13,46.4906,1.22821,1.87537,1.44156,0.40196,0.13937,0.1391,0.06209,1.81843,2.90823,2.36505,0.00099135,0.00099135,0.00099135
14,49.4066,1.20881,1.8458,1.50095,0.42802,0.19062,0.19977,0.08106,1.881,2.69886,2.57639,0.00105645,0.00105645,0.00105645
15,52.7527,1.30954,1.86592,1.48393,0.45914,0.35946,0.352,0.1178,1.81493,2.64701,2.31832,0.00107675,0.00107675,0.00107675
16,55.5764,1.25212,1.79393,1.47747,0.44055,0.21447,0.17305,0.06575,2.03055,2.67047,2.47463,0.00106437,0.00106437,0.00106437
17,58.461,1.23222,1.82317,1.4755,0.62449,0.33687,0.37054,0.18051,1.96052,2.4411,2.40817,0.001052,0.001052,0.001052
18,61.2653,1.30309,1.8362,1.50002,0.62538,0.35676,0.41023,0.19298,1.85985,2.35689,2.49719,0.00103962,0.00103962,0.00103962
19,64.1252,1.17323,1.73325,1.44897,0.60421,0.27752,0.28992,0.10136,2.28229,2.80759,2.79104,0.00102725,0.00102725,0.00102725
20,66.8572,1.17546,1.69695,1.48282,0.49112,0.33313,0.44015,0.18919,1.80531,2.23833,2.24352,0.00101488,0.00101488,0.00101488
21,69.7521,1.27402,1.68062,1.46265,0.68923,0.33498,0.37997,0.18463,1.74957,2.47827,2.30687,0.0010025,0.0010025,0.0010025
22,72.5347,1.20613,1.59528,1.44266,0.6323,0.22464,0.24417,0.08095,1.99927,2.74288,2.52575,0.000990125,0.000990125,0.000990125
23,75.5516,1.22692,1.54148,1.4067,0.5898,0.50107,0.45823,0.2188,1.64068,2.10591,2.06057,0.00097775,0.00097775,0.00097775
24,78.5794,1.15124,1.48832,1.42751,0.59302,0.48035,0.49282,0.23153,1.69078,2.16162,2.22621,0.000965375,0.000965375,0.000965375
25,81.4483,1.20892,1.60269,1.47957,0.60014,0.47115,0.48625,0.2186,1.85123,2.09369,2.26787,0.000953,0.000953,0.000953
26,84.5988,1.18208,1.57231,1.44973,0.5712,0.42303,0.46954,0.22534,1.79952,2.59469,2.24094,0.000940625,0.000940625,0.000940625
27,88.0791,1.19155,1.53081,1.47687,0.6859,0.49004,0.5995,0.28639,1.6997,2.4598,2.08292,0.00092825,0.00092825,0.00092825
28,91.432,1.20574,1.54469,1.42994,0.73824,0.46726,0.66849,0.28059,1.86361,2.28654,2.21815,0.000915875,0.000915875,0.000915875
29,94.7655,1.13082,1.41512,1.42994,0.75593,0.51788,0.56158,0.28596,1.52381,1.7451,1.97654,0.0009035,0.0009035,0.0009035
30,97.9005,1.07321,1.3509,1.34217,0.48263,0.75455,0.63802,0.36513,1.50005,1.65797,1.8705,0.000891125,0.000891125,0.000891125
31,100.737,1.08723,1.33327,1.37546,0.51465,0.58176,0.56656,0.31194,1.70619,1.87484,2.10191,0.00087875,0.00087875,0.00087875
32,103.454,1.15648,1.38784,1.41942,0.49391,0.48541,0.53607,0.18967,1.77592,2.32771,2.24267,0.000866375,0.000866375,0.000866375
33,106.379,1.11532,1.3425,1.38318,0.76285,0.58616,0.68193,0.431,1.65858,2.04794,2.26492,0.000854,0.000854,0.000854
34,109.307,1.124,1.27471,1.41806,0.61564,0.40057,0.41899,0.24406,1.69971,1.97121,2.33292,0.000841625,0.000841625,0.000841625
35,112.371,1.13532,1.33243,1.38265,0.78812,0.51683,0.57045,0.29246,1.55469,1.81282,2.14661,0.00082925,0.00082925,0.00082925
36,115.316,1.04353,1.29755,1.33958,0.54109,0.74264,0.70059,0.40651,1.39971,1.65131,1.79816,0.000816875,0.000816875,0.000816875
37,118.331,1.07737,1.2796,1.33075,0.4526,0.74497,0.66875,0.38085,1.57455,1.62849,1.97127,0.0008045,0.0008045,0.0008045
38,121.118,1.04033,1.19618,1.32321,0.47583,0.78476,0.71464,0.43655,1.5236,1.73346,2.07548,0.000792125,0.000792125,0.000792125
39,123.959,1.02946,1.21854,1.33208,0.78648,0.45551,0.62643,0.4198,1.54041,1.63367,2.03841,0.00077975,0.00077975,0.00077975
40,126.756,1.09014,1.19507,1.33557,0.91787,0.44631,0.74815,0.53342,1.38431,1.34469,1.84595,0.000767375,0.000767375,0.000767375
41,129.543,1.04459,1.14781,1.31968,0.74324,0.55764,0.59169,0.36645,1.43234,1.43725,1.72814,0.000755,0.000755,0.000755
42,132.313,1.05841,1.1982,1.37629,0.89071,0.47924,0.61342,0.36484,1.41253,1.37278,1.71462,0.000742625,0.000742625,0.000742625
43,135.271,1.08601,1.2077,1.34906,0.82524,0.55434,0.61623,0.36304,1.40402,1.31249,1.71736,0.00073025,0.00073025,0.00073025
44,138.076,1.04444,1.16027,1.35754,0.86378,0.62137,0.65057,0.399,1.33586,1.18615,1.66939,0.000717875,0.000717875,0.000717875
45,141.011,1.00103,1.10329,1.29528,0.85977,0.57355,0.61807,0.36273,1.36166,1.30013,1.70596,0.0007055,0.0007055,0.0007055
46,143.809,0.99701,1.11869,1.33446,0.74391,0.54098,0.56058,0.31786,1.50084,1.42871,1.84053,0.000693125,0.000693125,0.000693125
47,146.646,1.00842,1.09459,1.31915,0.89258,0.50024,0.72912,0.39693,1.49121,1.43575,1.82456,0.00068075,0.00068075,0.00068075
48,149.396,1.003,1.07032,1.30568,0.82195,0.6256,0.75482,0.42082,1.37722,1.3044,1.73125,0.000668375,0.000668375,0.000668375
49,152.216,1.04285,1.06867,1.32963,0.73247,0.63354,0.62741,0.3754,1.40681,1.38904,1.75699,0.000656,0.000656,0.000656
50,155.02,0.99366,1.08066,1.27741,0.83081,0.64833,0.71908,0.43106,1.32544,1.30549,1.57619,0.000643625,0.000643625,0.000643625
