epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.29267,0.71762,0.71913,1.12569,0.79529,0.81968,0.87272,0.62774,1.23153,0.76146,1.56258,0.0001625,0.0001625,0.0001625
2,7.69111,0.67222,0.59532,1.10085,0.88876,0.78186,0.88403,0.63428,1.22844,0.77168,1.54179,0.000334159,0.000334159,0.000334159
3,10.8312,0.67799,0.57464,1.10578,0.7995,0.89707,0.85689,0.56385,1.24948,0.8086,1.56407,0.000502353,0.000502353,0.000502353
4,14.0913,0.73066,0.69506,1.15714,0.77291,0.88889,0.84051,0.54759,1.30016,0.84893,1.64147,0.000667081,0.000667081,0.000667081
5,17.0597,0.81055,0.73515,1.16984,0.77199,0.69165,0.75108,0.51731,1.18174,0.93391,1.55932,0.000828345,0.000828345,0.000828345
6,20.4507,0.78967,0.73228,1.16916,0.68985,0.9003,0.85591,0.54647,1.32687,0.99729,1.69881,0.000986144,0.000986144,0.000986144
7,23.3512,0.79107,0.70786,1.1606,0.72555,0.85156,0.81959,0.49192,1.46736,1.07024,1.85184,0.00114048,0.00114048,0.00114048
8,26.4038,0.7996,0.74618,1.17705,0.73598,0.7867,0.85962,0.54134,1.31497,1.01949,1.6413,0.00116337,0.00116337,0.00116337
9,29.1858,0.82067,0.77363,1.16382,0.8677,0.61951,0.82521,0.53223,1.39175,1.05365,1.73256,0.001151,0.001151,0.001151
10,32.2376,0.85418,0.77499,1.18186,0.86723,0.60957,0.80403,0.48518,1.47707,1.07579,1.75851,0.00113863,0.00113863,0.00113863
11,35.194,0.87037,0.81058,1.24444,0.86799,0.61211,0.69134,0.44052,1.33279,1.05405,1.66335,0.00112625,0.00112625,0.00112625
12,38.268,0.87772,0.82602,1.21316,0.62439,0.75426,0.76192,0.47847,1.37132,1.0287,1.78859,0.00111388,0.00111388,0.00111388
13,41.9412,0.82948,0.799,1.17792,0.77609,0.80786,0.79641,0.49618,1.44223,0.94651,1.76887,0.0011015,0.0011015,0.0011015
14,45.8912,0.86676,0.77822,1.1839,0.77192,0.81303,0.84404,0.57307,1.38555,0.9508,1.73513,0.00108913,0.00108913,0.00108913
15,49.1405,0.81747,0.76045,1.16313,0.82609,0.76161,0.81825,0.53654,1.39658,1.08313,1.71878,0.00107675,0.00107675,0.00107675
16,52.1594,0.86961,0.79994,1.19334,0.85218,0.67991,0.84155,0.56336,1.28808,0.94938,1.59934,0.00106437,0.00106437,0.00106437
17,55.3625,0.8649,0.79263,1.21746,0.87173,0.79274,0.87192,0.57883,1.3641,0.8717,1.74588,0.001052,0.001052,0.001052
18,58.2239,0.81242,0.7525,1.16883,0.72092,0.77104,0.87189,0.58582,1.2493,0.86022,1.69598,0.00103962,0.00103962,0.00103962
19,61.5618,0.8538,0.79161,1.18558,0.85301,0.74171,0.82616,0.54327,1.34676,0.91452,1.74175,0.00102725,0.00102725,0.00102725
20,65.1019,0.83364,0.7622,1.18068,0.84199,0.73649,0.8096,0.53618,1.42353,0.96629,1.76962,0.00101488,0.00101488,0.00101488
21,68.2126,0.8654,0.77167,1.16525,0.84746,0.76029,0.84004,0.56877,1.29041,0.93612,1.66807,0.0010025,0.0010025,0.0010025
22,71.3246,0.8051,0.72574,1.16191,0.91715,0.74521,0.80565,0.50843,1.4557,0.95293,1.8233,0.000990125,0.000990125,0.000990125
23,74.3255,0.78289,0.75714,1.17627,0.81107,0.74271,0.8034,0.53964,1.3049,0.88765,1.70198,0.00097775,0.00097775,0.00097775
24,77.0797,0.83445,0.72712,1.18386,0.78869,0.7014,0.83357,0.55457,1.27983,0.85321,1.71792,0.000965375,0.000965375,0.000965375
25,80.0595,0.83666,0.74243,1.20524,0.7508,0.78938,0.82753,0.54373,1.33518,0.85001,1.78547,0.000953,0.000953,0.000953
26,82.8806,0.83162,0.78807,1.19193,0.72127,0.89718,0.8643,0.54237,1.33251,0.97381,1.66078,0.000940625,0.000940625,0.000940625
27,85.665,0.78942,0.70113,1.17087,0.78849,0.80772,0.80239,0.51584,1.32111,0.9471,1.65008,0.00092825,0.00092825,0.00092825
28,88.5489,0.78342,0.71159,1.15028,0.7242,0.87214,0.85132,0.55614,1.37573,0.94017,1.73135,0.000915875,0.000915875,0.000915875
29,91.4004,0.78253,0.71543,1.15624,0.65943,0.84687,0.89519,0.60473,1.37433,0.93844,1.72776,0.0009035,0.0009035,0.0009035
30,94.2841,0.81176,0.80887,1.17536,0.709,0.82581,0.79799,0.55072,1.34645,0.94709,1.69184,0.000891125,0.000891125,0.000891125
31,97.0241,0.83259,0.76761,1.17009,0.89152,0.70752,0.83891,0.56933,1.33389,0.90389,1.66267,0.00087875,0.00087875,0.00087875
32,99.6862,0.79582,0.73204,1.15512,0.85032,0.756,0.8355,0.57127,1.31634,0.92584,1.71799,0.000866375,0.000866375,0.000866375
33,102.367,0.74908,0.67197,1.11249,0.818,0.86651,0.89694,0.60057,1.38685,1.04306,1.7899,0.000854,0.000854,0.000854
34,105.099,0.85061,0.71399,1.18519,0.71839,0.88419,0.84144,0.54661,1.40762,1.02612,1.82772,0.000841625,0.000841625,0.000841625
35,107.942,0.72064,0.64525,1.11882,0.71348,0.91801,0.86023,0.52476,1.43785,1.04567,1.77412,0.00082925,0.00082925,0.00082925
36,110.948,0.78994,0.65032,1.1342,0.78194,0.73352,0.8722,0.51318,1.35971,1.00502,1.70966,0.000816875,0.000816875,0.000816875
37,113.842,0.76733,0.68086,1.14257,0.75824,0.90235,0.88654,0.56208,1.27937,0.85973,1.66519,0.0008045,0.0008045,0.0008045
38,116.725,0.72079,0.6633,1.12823,0.66958,0.89063,0.84793,0.5367,1.35613,0.88744,1.71938,0.000792125,0.000792125,0.000792125
39,119.472,0.79097,0.68798,1.15084,0.77935,0.89403,0.88139,0.55427,1.3453,0.87573,1.65981,0.00077975,0.00077975,0.00077975
40,122.172,0.76456,0.66031,1.13156,0.85459,0.71038,0.84973,0.57872,1.27759,0.88977,1.6368,0.000767375,0.000767375,0.000767375
41,124.964,0.73706,0.64654,1.12164,0.69985,0.89963,0.85509,0.5911,1.24391,0.9199,1.5577,0.000755,0.000755,0.000755
42,127.644,0.77744,0.68028,1.13769,0.76332,0.8399,0.85091,0.59975,1.17492,0.90272,1.45291,0.000742625,0.000742625,0.000742625
43,130.301,0.75568,0.67128,1.13158,0.7444,0.70332,0.82439,0.57716,1.20832,0.91461,1.52786,0.00073025,0.00073025,0.00073025
44,133.175,0.76396,0.7112,1.12458,0.7308,0.89826,0.86742,0.57898,1.27372,0.89543,1.59179,0.000717875,0.000717875,0.000717875
45,135.866,0.71675,0.64564,1.11368,0.71458,0.93003,0.86618,0.56697,1.29718,0.89339,1.61344,0.0007055,0.0007055,0.0007055
46,138.701,0.78614,0.66136,1.18541,0.75515,0.70639,0.85724,0.575,1.27316,0.91087,1.66581,0.000693125,0.000693125,0.000693125
47,141.532,0.76519,0.67711,1.11901,0.76048,0.71007,0.83369,0.57433,1.27041,0.86546,1.68508,0.00068075,0.00068075,0.00068075
48,144.395,0.69872,0.62785,1.12139,0.7267,0.83887,0.82716,0.55757,1.20446,0.84597,1.55314,0.000668375,0.000668375,0.000668375
49,147.086,0.70009,0.60318,1.10829,0.82428,0.83887,0.84252,0.55072,1.22366,0.8197,1.55128,0.000656,0.000656,0.000656
50,149.956,0.6906,0.63455,1.10071,0.84006,0.79344,0.83719,0.57062,1.25922,0.85293,1.58983,0.000643625,0.000643625,0.000643625
51,152.689,0.71061,0.63208,1.12575,0.88405,0.7679,0.85157,0.5782,1.271,0.81523,1.63665,0.00063125,0.00063125,0.00063125
52,155.471,0.7529,0.64512,1.10631,0.67947,0.85843,0.84388,0.58674,1.26875,0.81477,1.61302,0.000618875,0.000618875,0.000618875
53,158.104,0.75837,0.6436,1.1218,0.74722,0.87412,0.87684,0.61412,1.2363,0.75121,1.56422,0.0006065,0.0006065,0.0006065
54,160.869,0.68878,0.63998,1.10894,0.76632,0.79224,0.8475,0.60077,1.20904,0.74604,1.56062,0.000594125,0.000594125,0.000594125
